date,score,model_id,rank,date_dt,days
2019-11-05,0.583,gpt2-xl,1,2019-11-05,0
2021-08-05,0.645,gpt-j-6b,1,2021-08-05,639
2021-12-08,0.701,Gopher (280B),1,2021-12-08,764
2021-12-13,0.735,GLaM (MoE),1,2021-12-13,769
2021-12-13,0.715,GLaM (dense),2,2021-12-13,769
2022-01-27,0.702,text-davinci-001,3,2022-01-27,814
2022-01-28,0.789,Megatron-Turing NLG 530B,1,2022-01-28,815
2022-03-15,0.816,text-davinci-002,1,2022-03-15,861
2022-03-29,0.749,Chinchilla (70B),3,2022-03-29,875
2022-04-04,0.851,PaLM 540B,1,2022-04-04,881
2023-03-14,0.875,gpt-4-32k-0314,1,2023-03-14,1225
2023-03-14,0.875,gpt-4-0314,1,2023-03-14,1225
2023-09-06,0.871,falcon-180B,3,2023-09-06,1401
2024-02-29,0.885,claude-3-opus-20240229,1,2024-02-29,1577
2024-07-23,0.892,Llama-3.1-405B,1,2024-07-23,1722
