date,score,model_id,rank,date_dt,days
2024-06-20,0.0103448275862068,claude-3-5-sonnet-20240620,1,2024-06-20,0
2024-09-12,0.0172413793103448,o1-mini-2024-09-12_medium,1,2024-09-12,84
2024-09-12,0.0137931034482758,o1-mini-2024-09-12_high,2,2024-09-12,84
2024-10-22,0.0206896551724137,claude-3-5-sonnet-20241022,1,2024-10-22,124
2024-12-17,0.093103448275862,o1-2024-12-17_high,1,2024-12-17,180
2024-12-26,0.0172413793103448,DeepSeek-V3,3,2024-12-26,189
2025-01-31,0.0808189655172413,o3-mini-2025-01-31_medium,3,2025-01-31,225
2025-01-31,0.1103448275862069,o3-mini-2025-01-31_high,1,2025-01-31,225
2025-04-16,0.193103448275862,o4-mini-2025-04-16_medium,1,2025-04-16,300
2025-04-16,0.1724137931034483,o4-mini-2025-04-16_high,2,2025-04-16,300
2025-06-17,0.1103448275862069,gemini-2.5-pro,3,2025-06-17,362
2025-07-09,0.1211,grok-4-0709,3,2025-07-09,384
2025-08-01,0.29,gemini-2.5-deep-think-2025-08-01-webapp,1,2025-08-01,407
2025-08-07,0.2482758620689655,gpt-5-2025-08-07_high,2,2025-08-07,413
2025-08-07,0.2482758620689655,gpt-5-2025-08-07_medium,2,2025-08-07,413
