date,score,model_id,rank,date_dt,days
2023-06-13,0.3065025252525252,gpt-4-0613,1,2023-06-13,0
2023-07-11,0.3465909090909091,claude-2.0,1,2023-07-11,28
2023-11-06,0.4236111111111111,gpt-4-1106-preview,1,2023-11-06,146
2023-11-21,0.3295454545454545,claude-2.1,3,2023-11-21,161
2024-01-25,0.4226641414141414,gpt-4-0125-preview,2,2024-01-25,226
2024-02-26,0.3876262626262626,mistral-large-2402,3,2024-02-26,258
2024-02-29,0.4715909090909091,claude-3-opus-20240229,1,2024-02-29,261
2024-04-09,0.4659090909090909,gpt-4-turbo-2024-04-09,2,2024-04-09,301
2024-04-15,0.4343434343434343,WizardLM-2-8x22B,3,2024-04-15,307
2024-05-13,0.4889520202020202,gpt-4o-2024-05-13,1,2024-05-13,335
2024-06-20,0.5404040404040404,claude-3-5-sonnet-20240620,1,2024-06-20,373
2024-07-23,0.5091540404040404,Llama-3.1-405B-Instruct,2,2024-07-23,406
2024-07-24,0.4902146464646464,mistral-large-2407,3,2024-07-24,407
2024-08-06,0.4921085858585858,gpt-4o-2024-08-06,3,2024-08-06,420
2024-09-12,0.5950126262626263,o1-mini-2024-09-12_medium,2,2024-09-12,457
2024-09-12,0.6237373737373737,o1-mini-2024-09-12_high,1,2024-09-12,457
2024-09-24,0.5722853535353535,gemini-1.5-pro-002,3,2024-09-24,469
2024-12-17,0.7676767676767676,o1-2024-12-17_high,1,2024-12-17,553
2024-12-17,0.7575757575757576,o1-2024-12-17_medium,2,2024-12-17,553
2025-01-20,0.7171717171717171,DeepSeek-R1,3,2025-01-20,587
2025-01-31,0.7702020202020202,o3-mini-2025-01-31_high,1,2025-01-31,598
2025-02-24,0.7676767676767676,claude-3-7-sonnet-20250219_16K,3,2025-02-24,622
2025-02-24,0.7676767676767676,claude-3-7-sonnet-20250219_32K,3,2025-02-24,622
2025-02-24,0.7727272727272727,claude-3-7-sonnet-20250219_64K,1,2025-02-24,622
2025-03-25,0.8383838383838383,gemini-2.5-pro-exp-03-25,1,2025-03-25,651
2025-04-16,0.7960858585858586,o4-mini-2025-04-16_high,3,2025-04-16,673
2025-04-16,0.8181818181818182,o3-2025-04-16_high,2,2025-04-16,673
2025-06-05,0.8484848484848485,gemini-2.5-pro-preview-06-05,1,2025-06-05,723
2025-07-09,0.87,grok-4-0709,1,2025-07-09,757
2025-08-07,0.8535353535353535,gpt-5-2025-08-07_medium,2,2025-08-07,786
