date,score,model_id,rank,date_dt,days
2023-07-11,0.025,claude-2.0,1,2023-07-11,0
2023-11-21,0.0194444444444444,claude-2.1,2,2023-11-21,133
2024-02-15,0.0111111111111111,gemini-1.0-pro-001,3,2024-02-15,219
2024-02-26,0.0194444444444444,mistral-large-2402,2,2024-02-26,230
2024-02-29,0.025,claude-3-sonnet-20240229,2,2024-02-29,233
2024-02-29,0.0472222222222222,claude-3-opus-20240229,1,2024-02-29,233
2024-04-09,0.0666666666666666,gpt-4-turbo-2024-04-09,1,2024-04-09,273
2024-04-18,0.0430555555555555,Meta-Llama-3-70B-Instruct,3,2024-04-18,282
2024-05-13,0.0625,gpt-4o-2024-05-13,2,2024-05-13,307
2024-05-24,0.0680555555555555,gemini-1.5-pro-001,1,2024-05-24,318
2024-06-20,0.0652777777777777,claude-3-5-sonnet-20240620,3,2024-06-20,345
2024-07-18,0.0694444444444444,gpt-4o-mini-2024-07-18,1,2024-07-18,373
2024-07-23,0.0972222222222222,Llama-3.1-405B-Instruct,1,2024-07-23,378
2024-07-24,0.0847222222222222,mistral-large-2407,2,2024-07-24,379
2024-09-12,0.4694444444444444,o1-mini-2024-09-12_high,1,2024-09-12,429
2024-09-12,0.3111111111111111,o1-preview-2024-09-12,3,2024-09-12,429
2024-09-12,0.4472222222222222,o1-mini-2024-09-12_medium,2,2024-09-12,429
2024-12-17,0.7333333333333333,o1-2024-12-17_medium,1,2024-12-17,525
2025-01-20,0.5333333333333333,DeepSeek-R1,2,2025-01-20,559
2025-01-20,0.5138888888888888,DeepSeek-R1-Distill-Llama-70B,3,2025-01-20,559
2025-01-21,0.5777777777777777,gemini-2.0-flash-thinking-exp-01-21,2,2025-01-21,560
2025-01-31,0.6388888888888888,o3-mini-2025-01-31_medium,3,2025-01-31,570
2025-01-31,0.7694444444444445,o3-mini-2025-01-31_high,1,2025-01-31,570
2025-04-09,0.7777777777777778,grok-3-mini-beta_high,1,2025-04-09,638
2025-04-16,0.8388888888888889,o3-2025-04-16_high,1,2025-04-16,645
2025-04-16,0.8166666666666667,o4-mini-2025-04-16_high,2,2025-04-16,645
2025-07-09,0.84,grok-4-0709,1,2025-07-09,729
2025-08-07,0.8722222222222222,gpt-5-2025-08-07_medium,1,2025-08-07,758
2025-08-07,0.8666666666666667,gpt-5-2025-08-07_high,2,2025-08-07,758
