benchmark_1,benchmark_2,n_shared_models,corr,same_lineage,lineage
APEX Agents,ARC-AGI,5,0.41160917858158214,False,
APEX Agents,ARC-AGI-2,6,0.7158476913386518,False,
APEX Agents,Chess Puzzles,6,0.8494772260685566,False,
APEX Agents,FrontierMath,7,0.15314118885267286,False,
APEX Agents,FrontierMath Tier 4,6,-0.06911581511917961,False,
APEX Agents,GPQA Diamond,7,-0.03854167787846514,False,
APEX Agents,METR Time Horizons,5,0.35125997905742967,False,
APEX Agents,OTIS Mock AIME 2024-2025,6,0.26851695291080835,False,
APEX Agents,SWE-Bench Verified,5,0.8113955784720884,False,
APEX Agents,SimpleQA Verified,5,-0.6580962516493236,False,
APEX Agents,TerminalBench,7,-0.6678387214975284,False,
APEX Agents,VPCT,5,0.09053678044531918,False,
APEX Agents,WeirdML,5,-0.09632294547267847,False,
ARC (AI2),HellaSwag,7,0.29952902024443706,False,
ARC (AI2),OpenBookQA,10,0.7316957980369815,False,
ARC (AI2),PIQA,9,0.2069699532709218,False,
ARC (AI2),WinoGrande,7,0.4922655305796639,False,
ARC-AGI,ARC-AGI-2,17,0.6627112742883348,True,ARC-AGI
ARC-AGI,Aider Polyglot,7,0.5930172489911617,False,
ARC-AGI,Chess Puzzles,9,0.732589418305369,False,
ARC-AGI,FrontierMath,11,0.5255357498584349,False,
ARC-AGI,FrontierMath Tier 4,8,0.2129799460760283,False,
ARC-AGI,GPQA Diamond,12,0.24157954380098126,False,
ARC-AGI,GSO-Bench,5,0.9150427112784847,False,
ARC-AGI,MATH Level 5,8,0.4731597609519738,False,
ARC-AGI,METR Time Horizons,7,0.36237748157473226,False,
ARC-AGI,OTIS Mock AIME 2024-2025,12,-0.00200023607651506,False,
ARC-AGI,SimpleBench,8,0.2862568307996577,False,
ARC-AGI,SimpleQA Verified,6,0.15349515809741385,False,
ARC-AGI,VPCT,7,0.2039144178454353,False,
ARC-AGI,WeirdML,11,0.31250739225463764,False,
ARC-AGI-2,Aider Polyglot,7,-0.04437011286772967,False,
ARC-AGI-2,Chess Puzzles,10,0.764135458763767,False,
ARC-AGI-2,FrontierMath,11,0.39032821055913364,False,
ARC-AGI-2,FrontierMath Tier 4,8,0.5400199427481819,False,
ARC-AGI-2,GPQA Diamond,13,0.2745545203259789,False,
ARC-AGI-2,GSO-Bench,6,0.7620869990119579,False,
ARC-AGI-2,MATH Level 5,7,0.053331563085720596,False,
ARC-AGI-2,METR Time Horizons,7,-0.36321555020604346,False,
ARC-AGI-2,OTIS Mock AIME 2024-2025,13,0.10378341875872898,False,
ARC-AGI-2,SimpleBench,6,-0.03652575976294247,False,
ARC-AGI-2,SimpleQA Verified,6,-0.05113369875226193,False,
ARC-AGI-2,VPCT,6,0.5283321669078622,False,
ARC-AGI-2,WeirdML,8,0.8529064902059117,False,
Adversarial NLI,OpenBookQA,5,0.7545226637054954,False,
Aider Polyglot,CAD-Eval,7,0.6974695000907976,False,
Aider Polyglot,FrontierMath,8,0.12862865893221148,False,
Aider Polyglot,GPQA Diamond,9,0.40088430987455426,False,
Aider Polyglot,GSO-Bench,5,0.4507950378809366,False,
Aider Polyglot,Lech Mazur Writing,6,0.7790310935095655,False,
Aider Polyglot,LiveBench,10,0.506519630937928,False,
